,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
518,62253979#1-AddedOnRampEdge,64312796,3.334321480417796,8.0,27.0,30.0,17.0,42.0,213.0,539.0,651.0,523.0,457.0,5283
519,-24329385#4,350878471,11.157974194202872,3.0,70.0,437.0,884.0,1221.0,1874.0,1788.0,1297.0,1089.0,858.0,13531
520,25303226,-27655302#4,1.175131868323904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
521,-899831802,26603867#0-AddedOffRampEdge,1.4507704555771743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
522,88820195#4,274928869,2.0993694057934227,19.0,327.0,581.0,593.0,409.0,566.0,1163.0,799.0,244.0,36.0,4738
523,52844783#1,180682244#0,12.016306894470768,38.0,293.0,856.0,1632.0,2192.0,2233.0,2112.0,1767.0,1242.0,870.0,14746
524,14580779,274572887,2.509895164458181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
525,397978444#1,-427771927,0.5622102485870178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
526,-89925594#2,15281601#0,1.5726883752630396,4.0,6.0,22.0,25.0,34.0,56.0,81.0,92.0,111.0,142.0,1842
527,34761131#1,201673012#6,1.7972131505747853,28.0,42.0,124.0,183.0,209.0,245.0,227.0,128.0,73.0,10.0,1269
528,1034296966,274572883,3.7493319537397904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
529,26192703#0,22736051#3,1.083008262004075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
530,23331990,-342633569,5.977937266327599,37.0,339.0,688.0,1005.0,1170.0,1324.0,1385.0,1364.0,1379.0,1276.0,15001
531,-93893114,58573684#0,1.156403475918084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
532,51180219,-236789965,18.92923884209649,1.0,0.0,14.0,128.0,469.0,1085.0,1816.0,2287.0,2656.0,2298.0,15001
533,-78125299#3,59190686,1.5088797322323484,6.0,6.0,13.0,33.0,124.0,277.0,357.0,381.0,539.0,637.0,7233
534,45255571#0,270447482#0,8.329032507738955,1.0,1.0,21.0,116.0,294.0,687.0,1158.0,1745.0,2186.0,2136.0,15001
535,88539924,-266415272,2.2600758376485044,4.0,19.0,80.0,217.0,357.0,404.0,437.0,418.0,483.0,499.0,5327
536,-236789965,32059411,2.1851985541583407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
537,357107997,322690906,0.3823958197202038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
538,14581116#2,-236789965,17.540183147601297,2.0,52.0,326.0,603.0,764.0,948.0,1336.0,1629.0,1679.0,1727.0,14999
539,-55641550#11,537191925#0-AddedOnRampEdge,12.368010676453384,8.0,184.0,766.0,1025.0,1170.0,1213.0,1199.0,1272.0,1263.0,1258.0,14978
540,4969364,-203301254,2.595599311087422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
541,-257917686#1,-196204277#1,1.3668122954838506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
542,136634753,-24300270#17,15.242536151424318,1.0,1.0,29.0,235.0,798.0,1532.0,1974.0,2046.0,1759.0,1571.0,15001
543,-189145628#1,-577584841,19.882096543197896,1.0,11.0,118.0,420.0,834.0,1332.0,1656.0,1855.0,2060.0,1970.0,15001
544,24871104#3,250328448,25.42870123182944,1.0,1.0,80.0,525.0,1285.0,1981.0,2206.0,2388.0,2134.0,1655.0,15001
545,537191926,-64312782#0,0.6430195648157153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
546,-243051429#0,-1009350132#1,1.546946185774048,10.0,2.0,8.0,12.0,10.0,12.0,14.0,14.0,6.0,2.0,92
547,4968774,698849918,19.50157016507836,1.0,6.0,404.0,1968.0,2990.0,2688.0,2224.0,1816.0,1510.0,850.0,15001
548,274092509#0,26783369#0,4.153714701185747,181.0,681.0,1059.0,1323.0,1493.0,1603.0,1474.0,1501.0,1392.0,1115.0,14938
549,23313697#0,379059897#0,1.2872081895737144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
550,32039383#2,926766945,5.453541569715909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
551,353012711#0,31770597,16.80029429169442,10.0,68.0,327.0,1084.0,1905.0,2458.0,2452.0,2247.0,1898.0,1315.0,15001
552,168734376#0,-290053958#1,2.009420592623663,72.0,218.0,627.0,1110.0,1098.0,1048.0,1075.0,875.0,832.0,679.0,9734
553,257917686#2,-95052294#2,7.725016106677351,2.0,33.0,163.0,465.0,924.0,1460.0,1950.0,2206.0,2251.0,1944.0,14998
554,-156964938,590739060#1,1.5441938441117564,6.0,4.0,6.0,10.0,21.0,29.0,34.0,40.0,43.0,43.0,360
555,172708665#0,78074706#3,1.4596063224454865,7.0,15.0,15.0,11.0,45.0,18.0,63.0,34.0,39.0,45.0,326
556,340526131#0,-340526116,1.0181202156099132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
557,24329385#0,81130446,1.4987421824510605,8.0,40.0,53.0,84.0,137.0,98.0,135.0,77.0,95.0,92.0,1039
558,31771703,1008827541,1.920279915238756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
559,442468876,33806381,1.5061026182440735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
560,265635872#0,-81130442#4,4.004533203641515,201.0,1048.0,2135.0,2924.0,2811.0,1997.0,1233.0,796.0,459.0,263.0,14167
561,-15972072#7,154962677#0,2.4664478368323435,22.0,96.0,206.0,335.0,535.0,676.0,574.0,406.0,221.0,127.0,3266
562,591311355#0,-15972072#7,1.5651124775029577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
563,23155310#0,145128687,1.8718821318291383,5.0,11.0,81.0,196.0,408.0,615.0,585.0,744.0,631.0,431.0,4439
564,-201669202,53420585#5,1.4044340637749548,4.0,0.0,15.0,9.0,22.0,23.0,24.0,16.0,6.0,0.0,119
565,191702499,-270568922#2,7.207391438794864,65.0,345.0,919.0,1315.0,1485.0,1804.0,1786.0,1614.0,1428.0,1209.0,14892
566,59547535#1,-64130429#4,4.737131780572938,58.0,540.0,1710.0,2694.0,2697.0,2404.0,1862.0,1285.0,799.0,383.0,14961
567,-120066554#2,-172431730,1.6142362302110314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
568,196204239#0,528121828,1.1095461352948914,1.0,7.0,4.0,10.0,7.0,12.0,0.0,28.0,0.0,28.0,139
569,274920690,41517812,4.7756856793822,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
570,36844842#0,1051205980#0,11.131682953439345,15.0,112.0,328.0,556.0,918.0,1266.0,1520.0,1683.0,1745.0,1677.0,15000
571,-170476403,722583957,26.08912010766579,1.0,7.0,196.0,781.0,1738.0,2181.0,2268.0,2198.0,1888.0,1417.0,15001
572,4968774,353012716,17.320614123433142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
573,350878472,1040768492,1.3400584455120723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
574,353028462#0,172345944,2.890070182779225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
575,-243051429#1,-167107651#5,2.686474828624726,44.0,191.0,541.0,654.0,526.0,360.0,387.0,489.0,297.0,116.0,3631
576,78825081#0,-148958918#3,3.5209556868628287,41.0,280.0,328.0,781.0,1805.0,2068.0,1712.0,1319.0,921.0,583.0,10330
577,342853447#3,-81130465#2,6.474467465897617,48.0,219.0,490.0,862.0,1169.0,1312.0,1367.0,1422.0,1407.0,1188.0,14996
578,8132087#0,24754174#1,12.961108120544448,1.0,6.0,119.0,573.0,1174.0,1676.0,1698.0,1610.0,1468.0,1408.0,15001
579,291933973,-183693139#2,4.591682544930348,184.0,438.0,1272.0,2056.0,2018.0,1483.0,878.0,503.0,323.0,246.0,9899
580,265421986#0,152408916#0,4.50806659934465,22.0,281.0,687.0,1068.0,1298.0,1324.0,1451.0,1459.0,1364.0,1289.0,15001
581,-257917686#1,196204257,2.0515930358604386,5.0,4.0,19.0,14.0,21.0,25.0,20.0,24.0,14.0,20.0,191
582,-55340046,28881545#5,2.2245374064362764,6.0,50.0,181.0,284.0,391.0,502.0,624.0,747.0,926.0,957.0,10906
583,250328447,273253559,12.224830934171475,3.0,114.0,620.0,1484.0,2294.0,2512.0,2446.0,1988.0,1417.0,1000.0,15001
