origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
876031410#0,191483812#0,11.79991686203572,103.0,299.0,672.0,1364.0,2225.0,3066.0,4183.0,5595.0,7256.0,8994.0,15000,0.30793620105139585
-118569836#4,-4245346#1,4.865414643810607,36.0,204.0,662.0,1521.0,2567.0,3727.0,4920.0,6055.0,7177.0,8219.0,14867,0.8525022528673101
225105091#1,-103271294#1,25.02819473709151,1.0,1.0,3.0,34.0,214.0,786.0,1922.0,3629.0,5560.0,7384.0,15001,0.9001879548971762
227764339#0,625321643,22.840124444824387,1.0,1.0,19.0,117.0,457.0,1172.0,2334.0,3947.0,5818.0,7809.0,15001,0.7308543045883112
223345795#3,86198184#0,12.639402012941636,2.0,27.0,271.0,1075.0,2633.0,4999.0,7557.0,10017.0,11944.0,13331.0,15001,0.8962129352738918
192076282,23895836#0,2.584161555083909,296.0,992.0,2038.0,3637.0,5238.0,6752.0,8191.0,9398.0,10257.0,10825.0,11628,0.9152539665020857
24164250#2,28677439#0,5.000731302778437,59.0,706.0,2246.0,4676.0,7080.0,9163.0,10777.0,12062.0,12927.0,13485.0,14934,0.999559589417441
-424551716#3,-126146476,4.918392802488891,8.0,77.0,267.0,754.0,1482.0,2552.0,3826.0,5273.0,6814.0,8483.0,15001,0.9490592006630109
-94827734#6,27931982,20.818543288055857,1.0,16.0,123.0,433.0,1162.0,2285.0,3645.0,5258.0,7051.0,8843.0,15001,0.6701805369160173
28676913#0,100304834#0,2.192945468885531,107.0,428.0,1088.0,2103.0,3254.0,4458.0,5615.0,6714.0,7847.0,8894.0,13673,0.9316673964498481
