,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
312,210881968,92858688#0,1.1406583393675225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
313,197448006,23944888#0,17.03928706741287,1.0,2.0,21.0,127.0,306.0,500.0,645.0,712.0,665.0,575.0,5001
314,1125659040#3,191709609#0,8.461732610566928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
315,32572650,-123974277#7,7.259846882968598,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
316,291263469,28607656,2.0151377292227326,4.0,0.0,0.0,2.0,20.0,32.0,39.0,25.0,26.0,47.0,433
317,128364005,-27896812,8.755880603644725,3.0,21.0,35.0,77.0,175.0,237.0,343.0,428.0,462.0,500.0,5001
318,24210659#1,76564785,4.625816026481125,24.0,15.0,10.0,3.0,2.0,131.0,542.0,658.0,432.0,273.0,2555
319,-29470677#0,108152383,0.6197706631863523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
320,32572650,128167840#0,10.188905179258107,28.0,88.0,409.0,355.0,466.0,421.0,438.0,339.0,310.0,220.0,3621
321,27458817#1,-27458958#2,1.2735315908699507,6.0,27.0,65.0,107.0,134.0,176.0,260.0,261.0,225.0,162.0,1598
322,-49899191#1,261564737,1.839970466538246,4.0,3.0,8.0,13.0,13.0,16.0,15.0,13.0,16.0,13.0,191
323,123974277#6,-24391388,1.0629115274128866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
324,24210659#1,-122400053#5,6.28203362313019,9.0,235.0,571.0,759.0,736.0,756.0,701.0,546.0,300.0,188.0,4985
325,32572650,77083178#3,15.216230209620177,112.0,260.0,394.0,548.0,623.0,562.0,485.0,447.0,405.0,300.0,5001
326,203672999#7,-29267682#1,11.754780376010434,1.0,0.0,23.0,59.0,144.0,287.0,362.0,441.0,513.0,537.0,5001
327,151303657#0,28606798#1,11.874648650088456,23.0,101.0,190.0,338.0,400.0,432.0,423.0,457.0,457.0,461.0,5000
328,-128321241#0,-53799564#1,14.06723295203786,1.0,1.0,15.0,70.0,238.0,487.0,701.0,771.0,722.0,618.0,5001
329,164719711#0,29267682#1,1.0751360994520778,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
330,197226340,128175889#0,6.357938948251134,1.0,3.0,38.0,122.0,210.0,334.0,432.0,517.0,578.0,535.0,5000
331,27798062#0,37589731#0,2.549998287100156,12.0,70.0,139.0,152.0,243.0,268.0,282.0,294.0,318.0,301.0,3385
332,143571798#3,239688003#0,1.4394800202351137,5.0,9.0,18.0,26.0,33.0,66.0,84.0,96.0,124.0,143.0,904
333,32601842,-124205534#1,24.47262206922624,5.0,37.0,142.0,272.0,364.0,442.0,534.0,512.0,496.0,454.0,5001
334,291263469,-74464019#4,8.805496572959079,3.0,11.0,51.0,83.0,165.0,301.0,331.0,390.0,442.0,438.0,5001
335,32572650,25372715#0,18.022576207981192,53.0,292.0,449.0,661.0,758.0,712.0,550.0,401.0,237.0,202.0,5001
336,102151594#3,22978931,0.9963560256548004,60.0,46.0,41.0,77.0,131.0,128.0,95.0,71.0,34.0,14.0,701
337,-123974277#10,50640019,0.7815766577035765,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
338,51247874#5,23899179#10,1.337198784875012,11.0,26.0,51.0,76.0,69.0,100.0,109.0,116.0,91.0,66.0,820
339,28686528#0,-179445663,17.588073612545294,11.0,53.0,94.0,73.0,74.0,174.0,397.0,623.0,714.0,712.0,5001
340,34547563,760545482#0,0.7168639491870977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
341,-143063409,164719711#11,16.322939786830585,1.0,1.0,5.0,33.0,148.0,344.0,575.0,626.0,717.0,665.0,5001
342,548344792#0,35302147#1,9.984609815672714,3.0,11.0,53.0,137.0,199.0,271.0,371.0,409.0,468.0,519.0,5001
343,32601842,-27797966#2,11.841137926447791,164.0,610.0,1013.0,1187.0,925.0,519.0,250.0,144.0,68.0,37.0,4947
344,-29267812#3,28607655,2.326239016572401,4.0,2.0,4.0,27.0,63.0,63.0,111.0,108.0,83.0,85.0,701
345,-615138779#2,35302147#0,18.005539807233543,11.0,57.0,51.0,69.0,105.0,231.0,362.0,533.0,664.0,686.0,5001
346,-36333428,25699710#1,1.9154063481219323,5.0,7.0,2.0,3.0,23.0,126.0,109.0,20.0,2.0,5.0,348
347,121897321#0,127731885,5.5153569456472,100.0,147.0,227.0,284.0,396.0,569.0,619.0,633.0,605.0,451.0,4980
348,164719711#0,-103968781,1.5767540148660055,3.0,1.0,0.0,0.0,0.0,5.0,6.0,5.0,1.0,0.0,21
349,32572650,121906071#12,12.281169198294917,105.0,461.0,821.0,918.0,723.0,535.0,387.0,320.0,209.0,141.0,4997
350,190525535#1,27806893,1.5375524706994397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
351,-123974277#7,-24391309,1.0066885686244944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
352,27252979#0,196795239#0,14.397753125498395,141.0,229.0,247.0,247.0,300.0,330.0,368.0,406.0,467.0,425.0,4977
353,197448006,34381457,3.702413789205747,2.0,1.0,2.0,7.0,19.0,53.0,74.0,80.0,181.0,202.0,2718
354,196795239#2,27785508#1,4.756858145087377,156.0,480.0,763.0,789.0,773.0,610.0,413.0,330.0,267.0,154.0,4989
355,572824576#0,28272871,1.0047986057330291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
356,106708500,-20904931,0.8567862859447358,8.0,46.0,178.0,361.0,485.0,432.0,318.0,194.0,106.0,54.0,2217
357,26153682,128364009#3,3.5080466206876944,22.0,96.0,169.0,181.0,166.0,156.0,132.0,77.0,46.0,47.0,1147
358,164719711#0,74242608,11.406133064877224,5.0,25.0,86.0,194.0,389.0,512.0,611.0,655.0,558.0,495.0,5001
359,103271284,-24391309,1.0066885686244944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
360,48198595,123974277#8,7.744251803274326,85.0,478.0,842.0,1010.0,918.0,644.0,483.0,304.0,115.0,63.0,4994
361,24210659#1,-29267682#1,17.29591391147419,79.0,182.0,232.0,272.0,285.0,312.0,339.0,367.0,355.0,370.0,5000
362,32601842,27799306,11.884665236047876,127.0,479.0,1011.0,1161.0,942.0,569.0,295.0,189.0,118.0,43.0,4985
363,48834904#0,27136834#1,2.802968152565033,34.0,241.0,442.0,636.0,796.0,670.0,545.0,404.0,325.0,219.0,4985
364,82629577#0,58935040,0.904803660384027,5.0,27.0,58.0,129.0,169.0,110.0,69.0,43.0,16.0,15.0,643
365,22884876#0,142038165#0,13.413674605406738,1.0,5.0,56.0,187.0,377.0,563.0,659.0,548.0,553.0,454.0,5001
366,27525486#0,-118386127,1.1068970713029973,1.0,2.0,5.0,6.0,14.0,25.0,29.0,26.0,25.0,23.0,189
367,-24224587#2,124195113#12,9.890396935607862,15.0,43.0,149.0,315.0,455.0,634.0,727.0,674.0,574.0,473.0,5001
368,25699711,228187914,6.638207544525299,60.0,297.0,565.0,748.0,813.0,739.0,599.0,437.0,285.0,170.0,4981
369,24224587#2,30033797,8.758759510972133,35.0,101.0,262.0,494.0,676.0,875.0,833.0,673.0,448.0,264.0,5000
370,32601842,27570683#1,24.10494187198548,5.0,47.0,149.0,292.0,400.0,459.0,492.0,471.0,486.0,448.0,5001
371,-143920934#0,35302147#0-AddedOffRampEdge,17.801063224008896,14.0,44.0,77.0,56.0,82.0,171.0,337.0,531.0,651.0,686.0,5001
372,197448006,24210659#2,17.120142111371646,46.0,186.0,336.0,387.0,419.0,414.0,415.0,452.0,469.0,417.0,4952
373,-128321241#0,-373707541#6,6.947815997238464,132.0,374.0,518.0,536.0,613.0,570.0,560.0,461.0,352.0,296.0,4988
374,24210659#1,27670896,23.62464091982021,1.0,0.0,11.0,76.0,228.0,427.0,626.0,719.0,760.0,659.0,5001
375,251365446#1,-103271274,7.259333652437157,307.0,1319.0,1596.0,955.0,407.0,230.0,93.0,38.0,18.0,7.0,4975
376,572824576#0,231632444#0,2.7268258757316794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
377,533157557#0,137112602#1,1.144769221691791,18.0,28.0,30.0,33.0,13.0,14.0,7.0,0.0,1.0,0.0,144
378,197448006,30312041,17.521824399386897,1.0,2.0,25.0,141.0,274.0,492.0,607.0,707.0,636.0,517.0,5001
379,572824576#0,-231632444#6,3.083566528588132,171.0,976.0,936.0,243.0,43.0,250.0,372.0,186.0,37.0,1.0,3215
380,219307210#4,48585821#1,2.097350260059008,23.0,112.0,152.0,228.0,283.0,240.0,209.0,214.0,137.0,64.0,1713
381,29249215#4,1080795535#1,0.8745016602973558,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
382,-29471633#1,-30965266,0.7391552471184444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
383,23583742,-233019094#4,9.35056201538558,100.0,259.0,505.0,579.0,681.0,755.0,687.0,495.0,354.0,220.0,4993
384,-309656499#0,24210659#1,19.502699856509302,1.0,0.0,41.0,233.0,549.0,803.0,943.0,929.0,702.0,418.0,5001
385,997114670#0,23199370#0,0.9865628708955784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
386,27875219#1,-35436424,1.639908381419928,7.0,55.0,140.0,249.0,434.0,460.0,532.0,452.0,364.0,247.0,3280
387,217586821,35302147#0,8.140380202424994,1.0,3.0,52.0,142.0,282.0,488.0,593.0,664.0,647.0,604.0,5001
388,1084577828#1,203465195,1.3469958360537482,10.0,33.0,97.0,172.0,216.0,241.0,248.0,215.0,128.0,111.0,1652
389,137085362,-25699679#1,4.442613660504445,83.0,166.0,267.0,554.0,567.0,533.0,451.0,394.0,385.0,337.0,4960
390,-212517335,24391309,1.0736481491820902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
391,32572650,24210584#18,29.35751083014581,7.0,12.0,40.0,93.0,144.0,169.0,174.0,235.0,311.0,484.0,5001
392,184839812#1,199412757#0,14.13649247172974,1.0,10.0,50.0,203.0,413.0,633.0,861.0,898.0,722.0,525.0,5001
393,197448006,24210659#2,17.120142111371646,45.0,195.0,332.0,386.0,460.0,431.0,397.0,408.0,419.0,427.0,4953
394,26943116#1,128364009#3,16.431031288730587,1.0,0.0,3.0,20.0,87.0,215.0,434.0,650.0,729.0,790.0,5001
395,164719711#0,-29267682#0,1.0751360994520778,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
396,212517335,24391309,1.1248953534531676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
397,-24224587#1,58881512,8.770498491990095,41.0,129.0,398.0,597.0,898.0,889.0,725.0,583.0,298.0,200.0,5001
398,164719711#11,24392110,14.113287037044271,157.0,231.0,174.0,236.0,251.0,316.0,434.0,438.0,518.0,525.0,4992
399,-222477863#1,143323461#2,13.783126015947571,2.0,2.0,34.0,119.0,350.0,643.0,800.0,876.0,729.0,564.0,5001
