origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
379064172#0,-26012112#1,6.869575608249979,9748,77.0,483.0,1556.0,3273.0,5197.0,6823.0,8020.0,8774.0,9225.0,9494.0
44934223#2,339607735,3.990435286011068,7438,112.0,465.0,856.0,1262.0,1965.0,2673.0,3115.0,3416.0,3767.0,4146.0
161364982,51051477,1.6131159699355784,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-302251249#2,63404079#0,4.250883570393738,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
591311355#0,156964938,1.4391312597598709,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85521035#0,-59547535#3,1.2599820562414277,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
264651278#0,44307994#0,5.675161003413706,9925,58.0,420.0,1305.0,2430.0,3797.0,5262.0,6625.0,7716.0,8506.0,8992.0
-248637522#5,292731230,10.587296433186603,9943,86.0,317.0,823.0,1849.0,3340.0,5011.0,6524.0,7804.0,8675.0,9227.0
-302024346#1,44722491,1.7615132564287204,248,9.0,16.0,26.0,33.0,50.0,73.0,110.0,142.0,163.0,183.0
62232911#0,201671813#0,17.40992909300003,10001,1.0,2.0,56.0,350.0,1038.0,1980.0,3187.0,4430.0,5684.0,6885.0
1036789795,120066542,0.3449031764442193,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154819929,-1096344366,2.1937743162555168,6104,61.0,322.0,766.0,1430.0,2118.0,2756.0,3364.0,3907.0,4387.0,4824.0
4968774,196664113#0,16.293779976384997,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30018295,4620824,21.370948069805955,10001,1.0,8.0,123.0,605.0,1472.0,2721.0,4265.0,5766.0,6988.0,7890.0
24811513,394317170,12.736618830333269,9065,387.0,1167.0,2565.0,3807.0,4505.0,5130.0,5814.0,6468.0,7052.0,7455.0
244564998,29026050#5,3.8014356094530415,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26947379#0,72457595,1.4052724938852812,23,2.0,7.0,11.0,17.0,21.0,23.0,23.0,23.0,23.0,23.0
280020566#12,206898034#0,1.7751710578124336,1299,7.0,29.0,135.0,319.0,566.0,695.0,729.0,739.0,739.0,746.0
900439225#2,34761131#5,2.188543344727769,60,6.0,16.0,20.0,20.0,28.0,44.0,56.0,60.0,60.0,60.0
1012809774#0,-900439225#2,27.4758090122234,10001,1.0,12.0,222.0,1067.0,2652.0,4565.0,6312.0,7611.0,8496.0,9076.0
4969364,-623182790#3,2.063735868554604,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25121431,-30336999#0,6.836290503490405,9681,196.0,1203.0,3015.0,5089.0,6742.0,7939.0,8684.0,9053.0,9259.0,9429.0
144284409#0,-899831802,8.369125004167515,9683,335.0,1619.0,4136.0,6460.0,8187.0,9093.0,9485.0,9625.0,9670.0,9677.0
135024885#0,264113551,1.1317548695141582,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45336710,340526122,1.3696174342297032,222,3.0,5.0,25.0,43.0,68.0,72.0,73.0,82.0,100.0,151.0
595924776#0,330209038,0.9366396403767532,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
172282531#0,82246495,2.2595625415157903,3874,119.0,336.0,680.0,1044.0,1525.0,2123.0,2617.0,2959.0,3240.0,3522.0
4969364,-201673014#0,2.9013831118299303,1847,12.0,54.0,126.0,137.0,137.0,137.0,137.0,137.0,138.0,236.0
-77767390#4,201673012#8,14.108835879295958,10001,3.0,8.0,101.0,415.0,1191.0,2470.0,4144.0,5689.0,7019.0,8034.0
-154819909,41432210#1,3.425309990511518,1537,8.0,52.0,178.0,458.0,815.0,1070.0,1229.0,1336.0,1425.0,1474.0
-30965239#2,-192223850#3,0.8980732847718981,4,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
154635206#0,95104351#0,1.468753539859473,1021,1.0,2.0,17.0,66.0,123.0,282.0,450.0,641.0,855.0,951.0
49806848#0,195650730#0,1.4243988163980614,1657,9.0,17.0,56.0,118.0,162.0,322.0,422.0,599.0,831.0,1031.0
-103010230#6,264523485#0,7.2033460626608585,10001,1.0,9.0,59.0,218.0,555.0,1083.0,1851.0,2859.0,3976.0,5155.0
