origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
-22911244#2,25699643,4.514322789238504,159.0,564.0,1173.0,2350.0,4227.0,6308.0,8190.0,9716.0,11104.0,12216.0,14930
809107542#6,23951330#0,2.2699807020532305,153.0,1007.0,2740.0,4806.0,6901.0,8771.0,10262.0,11442.0,12326.0,13035.0,14775
27896854#1,121906997#0,1.4123481210285078,6.0,17.0,61.0,109.0,193.0,299.0,389.0,539.0,687.0,844.0,1162
164719711#0,35302147#0-AddedOffRampEdge,1.0375547677991666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
26586027#0,227764344,9.442995217892747,60.0,314.0,629.0,946.0,1291.0,1688.0,2197.0,2823.0,3612.0,4477.0,15001
24210659#1,35302147#0,17.06180228605815,203.0,695.0,1377.0,2131.0,2960.0,3868.0,4837.0,5859.0,6953.0,8014.0,14951
-33680795,476643766,8.930874356406301,53.0,485.0,1358.0,2763.0,4302.0,5605.0,6711.0,7627.0,8502.0,9402.0,14996
197448006,572824576#0,17.14710286031884,72.0,705.0,1818.0,3063.0,4255.0,5503.0,6725.0,7983.0,9286.0,10470.0,14609
164719711#0,-103968781,1.5767540148660055,3.0,4.0,4.0,4.0,4.0,9.0,16.0,21.0,22.0,22.0,22
-22897852#3,-103271284,13.831386445759696,145.0,438.0,781.0,1303.0,1949.0,2747.0,3753.0,4926.0,6326.0,7901.0,14957
27808607,-50640017,8.214695853854039,208.0,674.0,1418.0,2114.0,2724.0,3317.0,3977.0,4725.0,5617.0,6691.0,14994
572824576#0,164719711#12,17.389371908731896,197.0,689.0,1346.0,2059.0,2823.0,3679.0,4667.0,5647.0,6730.0,7760.0,14989
-681795401#1,-26945385#0,2.3950137807960985,37.0,158.0,411.0,763.0,1312.0,2090.0,3105.0,4168.0,5356.0,6519.0,13656
32601842,41761194#0,29.35400852157653,21.0,84.0,232.0,590.0,1038.0,1561.0,2157.0,2879.0,3795.0,4984.0,15000
197448006,-514879385,17.88346110758546,62.0,373.0,958.0,1685.0,2587.0,3496.0,4446.0,5429.0,6435.0,7546.0,14897
-59299374,-356860400#3,5.039983718385156,52.0,190.0,392.0,669.0,996.0,1418.0,2042.0,2943.0,4087.0,5408.0,14946
843412139,27026326#1,13.789371521738715,1.0,3.0,54.0,257.0,840.0,1945.0,3662.0,5674.0,7790.0,9742.0,15001
201512868#2,248735818#0,1.189917439558713,14.0,96.0,325.0,757.0,1404.0,2150.0,2885.0,3626.0,4311.0,4856.0,6263
77083200#0,27786759#2,6.41421195465963,3.0,27.0,172.0,521.0,1107.0,1961.0,3156.0,4645.0,6167.0,7825.0,15000
184839812#1,27477022#0,14.017440721487606,1.0,30.0,170.0,605.0,1640.0,3344.0,5644.0,8048.0,10168.0,11789.0,15001
132617728#0,29267682#2,9.27333712923039,156.0,953.0,2319.0,4108.0,6058.0,7813.0,9285.0,10608.0,11588.0,12302.0,13837
164719711#0,23646380#0,11.248877938946707,11.0,77.0,281.0,758.0,1571.0,2787.0,4256.0,5874.0,7391.0,8815.0,15001
24210659#1,-29267682#0,17.271604501763484,208.0,821.0,1496.0,2289.0,3098.0,3953.0,4962.0,5974.0,7034.0,8147.0,14988
237796650#0,135417815#0,1.3959902157595414,20.0,131.0,459.0,1027.0,1703.0,2373.0,2848.0,3166.0,3356.0,3507.0,3639
32601842,25732686#0,17.965337679360687,202.0,995.0,2246.0,3928.0,5894.0,7873.0,9483.0,10679.0,11591.0,12318.0,15001
-45011093#1,79561694#0,5.34269195883622,166.0,607.0,1220.0,1980.0,2799.0,3754.0,5049.0,6257.0,7356.0,8390.0,13328
184839812#1,-190022920#0,13.896206378425324,4.0,30.0,198.0,756.0,1784.0,3522.0,5897.0,8437.0,10505.0,12080.0,15001
27798065#0,48741059#0,2.191738084047321,22.0,156.0,442.0,823.0,1357.0,2080.0,2883.0,3752.0,4688.0,5608.0,9182
22951417,69716265,2.223849090954074,298.0,1403.0,2978.0,4821.0,6799.0,8687.0,10180.0,11288.0,12028.0,12471.0,12861
141760481#2,27477022#3,0.890011564408686,4.0,11.0,24.0,56.0,113.0,178.0,251.0,335.0,412.0,472.0,550
32572650,27798062#1,12.09205212162442,287.0,1256.0,3053.0,5693.0,8536.0,10791.0,12373.0,13500.0,14187.0,14559.0,14938
-143323456#4,28039863,1.7747231995038584,4.0,5.0,12.0,37.0,59.0,104.0,181.0,254.0,335.0,410.0,669
41138404,-476643766,9.216618397508856,73.0,586.0,1463.0,2630.0,3960.0,5334.0,6441.0,7377.0,8245.0,8997.0,14982
-103968781,25699710#1,2.6883963361679024,7.0,27.0,46.0,77.0,119.0,178.0,241.0,303.0,372.0,454.0,668
122763953#0,-123974277#7,0.9559244916513876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27340254#2,27339246,0.7734540266977121,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
197448006,123953416#0,19.39165827217707,1.0,5.0,29.0,164.0,575.0,1372.0,2629.0,4290.0,6169.0,7943.0,15001
30103428#1,-27339594#0,1.0586685632898674,9.0,48.0,162.0,364.0,655.0,984.0,1233.0,1461.0,1653.0,1783.0,1958
164719711#0,-103968781,1.5767540148660055,3.0,4.0,4.0,4.0,4.0,9.0,16.0,20.0,21.0,21.0,21
29470677#0,108152388#0,1.8452776624500429,2.0,4.0,4.0,4.0,4.0,4.0,4.0,20.0,34.0,58.0,3433
197448006,24210659#2,17.120142111371646,75.0,667.0,1676.0,2850.0,4064.0,5200.0,6345.0,7583.0,8838.0,10047.0,14652
26945356#0,572824576#0,19.474320562827245,1.0,8.0,150.0,925.0,2553.0,4741.0,7406.0,10062.0,12225.0,13602.0,15001
22818174,39501815,11.421411253218784,231.0,859.0,2051.0,4443.0,7299.0,9768.0,11517.0,12611.0,13305.0,13858.0,14750
-27875454#0,-155876889,0.6475375791735378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-24391309,-123974277#9,0.9855402850739744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27875983#1,30694699#1,1.0732779260097614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
890076876#4,-51036726,9.223060248675573,43.0,237.0,574.0,859.0,1154.0,1568.0,2042.0,2641.0,3341.0,4143.0,15000
169506731,54618836#0,0.8213418630062885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
164719711#0,26153681,1.0035361828819265,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
50639429,-51036726,0.923100967354434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
95132319,48391046#3,1.3801740646016645,256.0,625.0,1494.0,2438.0,3658.0,5008.0,6389.0,7653.0,8859.0,9762.0,11715
27620999#2,-302569441,1.3545103156602398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
26800798#2,-29267812#3,16.84771597317028,1.0,1.0,25.0,151.0,594.0,1519.0,2918.0,4752.0,6739.0,8700.0,15001
1125633148#0,-121911600#6,8.265769437352224,41.0,80.0,998.0,1854.0,2406.0,2894.0,3786.0,4928.0,5821.0,6592.0,7066
-121455916#0,182783200#1,10.544217724578822,86.0,401.0,708.0,1039.0,1412.0,1854.0,2469.0,3217.0,4064.0,5065.0,15001
154928095#2,50640019,8.18998417485139,147.0,529.0,1100.0,1645.0,2130.0,2787.0,3485.0,4267.0,5349.0,6754.0,14996
27475113#2,28873044#1,2.003115793830188,0.0,0.0,12.0,59.0,209.0,502.0,785.0,1146.0,1609.0,2320.0,8506
26945356#0,24210659#1,19.474320562827245,1.0,3.0,122.0,804.0,2254.0,4348.0,6933.0,9681.0,11905.0,13442.0,15001
65696242#0,22989438#0,0.5687993791990444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
28769085#0,27082156#0,14.139430044434734,1.0,8.0,59.0,266.0,856.0,2083.0,3766.0,5860.0,7891.0,9826.0,15001
95126794#1,121962571#16,11.330727007743173,201.0,573.0,1240.0,2482.0,4262.0,6295.0,8229.0,9923.0,11175.0,12137.0,14523
197448006,103271274,13.997133808535066,74.0,284.0,617.0,1192.0,1992.0,2920.0,4138.0,5356.0,6593.0,7747.0,14203
-121222236#4,185140308#0,8.798694497317904,42.0,372.0,1227.0,2791.0,5176.0,7977.0,10473.0,12352.0,13582.0,14236.0,15000
-1084577828#1,27458100#1,1.4229190286022968,19.0,53.0,114.0,266.0,570.0,980.0,1499.0,2011.0,2526.0,2934.0,3623
208624943#6,27476054,0.8948470039097888,3.0,10.0,18.0,36.0,66.0,130.0,229.0,313.0,385.0,436.0,638
997238473#0,-27856820#4,1.722326943749073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
22989486#0,903463231,1.0705409116875604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
572824576#0,-151402287#10,6.507820411623351,35.0,624.0,1874.0,3798.0,5864.0,8166.0,10283.0,12001.0,13187.0,13994.0,14990
45741874#0,-239688003#1,1.3865361335627333,2.0,9.0,13.0,30.0,54.0,98.0,157.0,250.0,384.0,611.0,4853
184921819,933372047,1.3494414112863422,1.0,2.0,2.0,2.0,2.0,4.0,4.0,7.0,9.0,10.0,20
26786424,23899262,0.836135305603149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
121897324#0,196795239#2,4.462323364373764,190.0,613.0,1271.0,1954.0,2636.0,3393.0,4369.0,5409.0,6414.0,7242.0,14778
190502843#2,127531033#1,2.581791355988023,291.0,2087.0,4306.0,6175.0,7763.0,9195.0,10344.0,11173.0,11741.0,12144.0,13010
164719711#12,96898355,8.523037203195916,3.0,22.0,94.0,258.0,588.0,1152.0,2016.0,3045.0,4277.0,5706.0,15001
164719711#0,24210584#19,18.290190986264943,33.0,247.0,672.0,1345.0,2151.0,3014.0,3899.0,4832.0,5746.0,6705.0,14995
