origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
-190735673#3,-154816260#8,7.587973069332849,783.0,3986.0,7538.0,10631.0,12832.0,13997.0,14541.0,14812.0,14938.0,14982.0,14998
319752146#3,1081066600#5,1.4797368862503302,6.0,16.0,25.0,43.0,51.0,66.0,87.0,130.0,177.0,221.0,607
-205385764#0,27021016#0,1.640105233451562,10.0,22.0,42.0,64.0,108.0,150.0,175.0,196.0,216.0,240.0,665
582373789#0,27623929#2-AddedOnRampEdge,2.848752164532162,38.0,124.0,221.0,799.0,1857.0,3254.0,4284.0,4958.0,5271.0,5427.0,5500
249338955,24854728#4,1.6880149541888472,4.0,8.0,9.0,29.0,93.0,245.0,510.0,851.0,1206.0,1470.0,1848
348439788#0,26682296,4.297424093338081,24.0,48.0,149.0,407.0,659.0,1207.0,1830.0,2812.0,3661.0,4711.0,6653
-630904971,27623929#2,2.656945185715963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-8055051#10,30642828#0,2.7749278828741293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-28836422#2,-205385764#0,1.4935985347433487,35.0,58.0,66.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88
-168436709,-180715241,3.642958067824804,324.0,762.0,1409.0,2322.0,3093.0,3628.0,3924.0,4155.0,4295.0,4343.0,4400
25316220,-204521194#2,1.507787047087,6.0,19.0,65.0,121.0,175.0,213.0,231.0,235.0,235.0,235.0,235
-557015628#2,-1036865568,1.5822513395285371,34.0,129.0,295.0,931.0,1986.0,2983.0,3789.0,4327.0,4565.0,4689.0,4734
843932181#0,-44779234#3,1.87392798577318,2.0,2.0,2.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10
1080195304,-190735673#3,4.037151431101248,314.0,1714.0,3746.0,5621.0,7284.0,8714.0,9755.0,10316.0,10642.0,10811.0,10931
871732560#3,27623929#2-AddedOnRampEdge,4.017193698465166,135.0,494.0,1239.0,2361.0,3828.0,5594.0,7241.0,8721.0,10082.0,11163.0,13561
