origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
-23729238#2,26702701#0,0.3031129752817857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0292902402942684
30644507#0,273909489#0,3.60974157987659,43.0,373.0,1395.0,3266.0,5734.0,7861.0,9119.0,9708.0,9919.0,9979.0,10001,0.6518398727448584
173087862#0,-306799128,2.8275888249669934,88.0,546.0,1546.0,2974.0,4674.0,6316.0,7605.0,8581.0,9217.0,9582.0,9999,0.3942206207171801
182821974,183876914#0,2.40005233389979,57.0,334.0,911.0,1743.0,2440.0,2825.0,3041.0,3395.0,4038.0,4862.0,8162,0.9796798066433428
44937066#0,267716685#0,3.2171475402171072,31.0,277.0,955.0,2240.0,3800.0,5425.0,6823.0,7890.0,8700.0,9226.0,10001,0.4546048395001852
182821974,24492702#0,2.102329980418355,32.0,274.0,1137.0,2497.0,4238.0,5624.0,6532.0,7064.0,7295.0,7407.0,7492,0.8734820057275191
286603676#0,272651839#0,2.343386455951422,26.0,218.0,572.0,1370.0,2476.0,3501.0,4506.0,5244.0,5692.0,5942.0,6239,0.8427254460988063
272661730#0,-23729238#2,2.0263754853722684,32.0,216.0,589.0,1124.0,1823.0,2640.0,3447.0,4053.0,4433.0,4681.0,4962,0.6226353831491068
-24599250#1,24692888#0,6.253024819210442,5.0,25.0,94.0,305.0,682.0,1303.0,2127.0,3082.0,4228.0,5402.0,10001,0.3191192356900597
-201671810#0,-891352731,22.660930588471903,1.0,1.0,19.0,197.0,953.0,2331.0,4011.0,5720.0,7016.0,8070.0,10001,0.9456425799857748
23429698#0,23634535#0,3.2993869019723165,316.0,1009.0,1964.0,2901.0,3829.0,4681.0,5380.0,6201.0,6868.0,7377.0,9248,0.19653604747182848
23249319#0,-117421469#1,4.452098725143829,26.0,174.0,592.0,1371.0,2348.0,3643.0,4906.0,6136.0,7238.0,8116.0,10001,0.7168568408979586
272654787#0,24492702#0,1.9381443074130893,0.0,0.0,8.0,126.0,646.0,1782.0,3162.0,4088.0,4532.0,4686.0,4739,0.8909807169063763
-5110309#2,37063199#0,1.246092605518693,4.0,5.0,8.0,17.0,32.0,49.0,79.0,127.0,175.0,209.0,757,0.3069344098648244
23634535#0,270442487#0,9.101136603558944,2.0,12.0,36.0,171.0,502.0,1039.0,1788.0,2638.0,3455.0,4154.0,10001,0.5523563305866216
338297366#0,25941521#3,18.51357010757895,1.0,4.0,70.0,359.0,917.0,1535.0,2166.0,2895.0,3738.0,4649.0,10001,0.5480725180348907
575296778#2,25941521#3,7.357577757354587,3.0,94.0,569.0,1591.0,2905.0,4210.0,5359.0,6392.0,7266.0,7868.0,10001,0.21665069807897544
-265317023#2,263347690#0,14.349086922644746,1.0,1.0,14.0,149.0,582.0,1301.0,2174.0,3152.0,4248.0,5284.0,10001,0.9605970968622464
171826000,-23820762#2,4.006973095347375,67.0,319.0,806.0,1522.0,2355.0,3326.0,4306.0,5290.0,6230.0,7152.0,10000,0.6148850297990571
353018598,-891352731,16.37668613320274,1.0,6.0,51.0,206.0,542.0,1099.0,1878.0,2711.0,3494.0,4305.0,10001,0.49884447794893927
671578063,59310725#0,19.836577977175192,1.0,15.0,140.0,646.0,1637.0,3140.0,4708.0,6029.0,7183.0,7991.0,10001,0.6207751440926241
7980203#0,264338797#0,2.5791573025810983,36.0,300.0,1039.0,2346.0,3926.0,5555.0,6922.0,8054.0,8822.0,9318.0,9998,0.3331051472494239
141323229#0,265517063#0,10.169897933809835,1.0,12.0,172.0,868.0,2397.0,4383.0,6475.0,8093.0,9174.0,9634.0,10001,0.9791419334951125
24692888#0,263676503#0,10.152219560587344,1.0,7.0,31.0,154.0,571.0,1409.0,2691.0,4264.0,5870.0,7215.0,10001,0.8552100479191156
270442487#0,-140425776,11.95627647017017,1.0,1.0,8.0,75.0,419.0,1168.0,2218.0,3385.0,4508.0,5602.0,10001,0.7808805938436694
24389793#0,-264517782#1,8.985438606191682,1.0,2.0,24.0,136.0,444.0,1040.0,1910.0,2928.0,4015.0,5109.0,10001,0.5622623324556192
168773906#0,26702701#0,2.804162517073446,97.0,393.0,760.0,1287.0,2023.0,2924.0,3905.0,4878.0,5756.0,6566.0,9107,0.9529962523751323
-23729238#2,168734385#0,1.878240358102218,102.0,521.0,1399.0,2687.0,4019.0,5242.0,6075.0,6583.0,6855.0,6980.0,7110,0.5162983851879509
575296778#2,190906549#0,19.4610967834298,1.0,1.0,13.0,147.0,657.0,1618.0,2985.0,4511.0,6058.0,7413.0,10001,0.9845849279724502
