origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
488708220,-236789965,23.891464150052556,1.0,7.0,46.0,284.0,1201.0,3485.0,6791.0,9986.0,12242.0,13622.0,15001
-204692357,274928860-AddedOnRampEdge,2.3204932311605466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
286608284,343733719,1.5619307230832318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
668139707,-144277522,10.560159448968069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
189145625,-100974990#1,1.023432221153031,7.0,11.0,13.0,13.0,15.0,18.0,20.0,21.0,21.0,21.0,21
14580803#0,274433672,3.143178952689577,26.0,135.0,283.0,308.0,312.0,335.0,377.0,387.0,402.0,481.0,628
274572878-AddedOnRampEdge,-30336864,0.7364111002879867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
336986509#0,-32039829#6,1.863721621527029,96.0,397.0,823.0,1403.0,2009.0,2530.0,3051.0,3636.0,4346.0,5037.0,6105
25121431,-243156514,7.118191314721504,232.0,1663.0,4188.0,7128.0,9747.0,11626.0,12792.0,13488.0,13861.0,14129.0,14582
668139707,-95111075#1,4.601962215692919,189.0,581.0,1106.0,1680.0,2239.0,2743.0,3075.0,3425.0,3818.0,4349.0,8353
25802990#0,329347640,2.5192724111035814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
899831802,689695310#0-AddedOffRampEdge,15.566574597125742,31.0,151.0,584.0,2047.0,4704.0,7814.0,10251.0,11918.0,12950.0,13669.0,15000
125546273#0,44128866,3.3883697308512035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
329347624,25765201#1,14.027040935789866,1.0,20.0,400.0,2231.0,5874.0,9699.0,12482.0,13950.0,14612.0,14863.0,15001
-623182790#4,125546273#0,3.426440731577705,657.0,2729.0,4928.0,8324.0,10761.0,12420.0,13114.0,13549.0,13710.0,13756.0,13776
1058119463,-565727007#2,13.29410027175879,1.0,30.0,381.0,1324.0,2596.0,3818.0,4872.0,5878.0,6926.0,8096.0,15000
15972072#5,1051205980#0,22.64170775814725,1.0,1.0,35.0,250.0,906.0,1858.0,3264.0,5087.0,6922.0,8551.0,15001
59465371#0,211147445,4.956438175854901,591.0,2322.0,3719.0,4364.0,5175.0,6508.0,7790.0,8863.0,9697.0,10484.0,11963
-280020566#15,31539918,0.5310698335112071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
668139707,168044212#0,6.115880818313963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-252472885#0,-172431730,0.7728763934380247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-172410764#2,-167107651#5,1.3970799258888382,8.0,25.0,111.0,193.0,230.0,236.0,236.0,236.0,236.0,236.0,236
23792234#0,32059411,19.86608520096559,1.0,3.0,58.0,299.0,838.0,1668.0,3047.0,4991.0,7075.0,9044.0,15001
34427441,191694304,0.9144417305670308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-55641550#1,39894345#0,10.710298898918444,2.0,5.0,91.0,436.0,1121.0,2204.0,3489.0,4938.0,6348.0,7643.0,14998
144284409#0,-899831802,8.369125004167515,451.0,2242.0,5859.0,9521.0,12134.0,13544.0,14184.0,14386.0,14447.0,14462.0,14467
1022982873,25245989#0,1.9845935663623515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
145038766,722586614#1,22.3549853975022,1.0,2.0,45.0,438.0,1708.0,3918.0,6474.0,8978.0,11045.0,12631.0,15001
