origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
324493318#0,22926846#0,0.7574926895044797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0938464788527003
-475935033#1,24975582#0,1.578631728290059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.4899648912571074
46201350#0,11655636#0-AddedOnRampEdge,0.6819049748249942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.08024590097218547
27317795#0,354964366#3,1.6139679474184734,4.0,13.0,45.0,118.0,268.0,590.0,1042.0,1450.0,1767.0,1972.0,2710,0.4436349356633304
44779234#2,42861130#0,11.35764532353556,5.0,48.0,210.0,598.0,1250.0,2068.0,3217.0,4560.0,5951.0,7143.0,10001,0.7392870130814989
915828044#0,24937323,2.6018218432863227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.953146917413215
23158529#0,706139037,2.3641198992968606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8606199744943831
-705573917,306145142#1,4.95793012406859,397.0,1538.0,3578.0,5650.0,7131.0,8047.0,8512.0,8816.0,9007.0,9133.0,9304,0.7589430030618713
23390363#0,-110575582#2,1.958736280453748,19.0,162.0,546.0,1098.0,1721.0,2365.0,3055.0,3354.0,3517.0,3674.0,3912,0.2775811375902237
-110575582#2,43024557,3.4529572263981043,162.0,543.0,1052.0,1769.0,2635.0,3675.0,4701.0,5727.0,6674.0,7557.0,9945,0.5031007158509428
159915363#0,-705573917,5.2763578803531646,111.0,665.0,1824.0,3266.0,4799.0,6426.0,7745.0,8689.0,9286.0,9626.0,9975,0.9165046348880175
24695297#0,24578989,0.5619136836716702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2,0.13034030388411702
-110575582#2,24985704#2,3.779490450080798,163.0,1041.0,2475.0,4404.0,6307.0,7728.0,8612.0,9199.0,9536.0,9714.0,9999,0.6389547278299285
549206863#0,24937323,0.8885542723384527,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.24854311335637838
-158020275#4,24909060#4,4.633041761831432,91.0,626.0,1568.0,2681.0,3854.0,4950.0,6027.0,6934.0,7642.0,8177.0,9512,0.687146765687283
202760019#6,24701900#3,4.821226173257661,49.0,263.0,796.0,1666.0,2725.0,3906.0,5100.0,6324.0,7386.0,8261.0,9998,0.8550235737935183
158020256#5,172496052#0,1.127808762175893,0.0,2.0,24.0,54.0,149.0,249.0,349.0,444.0,478.0,498.0,499,0.2834076814813061
-769920219#1,22926846#0,1.25921753694938,34.0,85.0,156.0,261.0,350.0,400.0,479.0,514.0,565.0,585.0,649,0.20466089007901964
915119863#0,24550665#0,1.7200313836717105,44.0,221.0,587.0,1318.0,2192.0,3033.0,3497.0,3646.0,3704.0,3711.0,3713,0.5373711575797826
549206863#0,24785306#4,1.1932682385307585,1.0,3.0,4.0,13.0,28.0,58.0,92.0,128.0,252.0,388.0,516,0.3104886262631499
-27202659#8,43024557,4.369896556540097,532.0,1491.0,2612.0,3814.0,4903.0,5819.0,6592.0,7152.0,7580.0,7922.0,8470,0.6688009138226856
-172962794#1,24597934#0,1.6651035648707035,0.0,25.0,158.0,327.0,456.0,509.0,520.0,522.0,522.0,522.0,522,0.4781478805476253
23390363#0,-769920219#1,1.6016467892530677,2.0,4.0,25.0,39.0,85.0,132.0,179.0,253.0,291.0,363.0,493,0.21035178524338435
-27202659#8,305428846#1,4.653236820761503,343.0,1460.0,2562.0,3751.0,4532.0,5182.0,5735.0,6152.0,6425.0,6663.0,6918,0.6383282220714362
888683700,1086284413,2.076562099691277,2.0,10.0,24.0,44.0,86.0,139.0,237.0,363.0,488.0,606.0,783,0.6308615743304752
-590598818#1,571680875#4,5.2771807357398695,26.0,146.0,502.0,1276.0,2468.0,3934.0,5461.0,6777.0,7859.0,8638.0,9993,0.9948111322016108
354964410#0,-886571928#1,4.381774973857744,222.0,1194.0,3254.0,5356.0,6861.0,7925.0,8606.0,9121.0,9503.0,9735.0,9962,0.7796261339732381
354964410#0,24701900#3,3.775635207322544,161.0,711.0,1446.0,2179.0,2984.0,3935.0,4902.0,5857.0,6708.0,7425.0,9971,0.6401786873368475
24578989,751866381#0,1.855365883721097,60.0,415.0,1147.0,1757.0,2123.0,2307.0,2385.0,2419.0,2433.0,2434.0,2435,0.5593945496965793
915522877#0,888683700,1.0060641995801722,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,0.20261768117199067
24597934#0,706139037,2.6572809994135858,361.0,1191.0,2369.0,4135.0,5549.0,6520.0,7098.0,7374.0,7441.0,7449.0,7450,0.712308822306873
-25163955#11,-288211979#3,8.6752549557416,25.0,311.0,1109.0,2435.0,4103.0,5727.0,6960.0,7914.0,8686.0,9172.0,10001,0.5261251180225097
25006730#0,25026462#2,4.455653524537744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2204828361507952
24808689#0,24785306#4,2.850817545776474,11.0,81.0,296.0,680.0,1183.0,1724.0,2283.0,2944.0,3709.0,4612.0,8896,0.8869604674737767
306145142#1,203478088#0,5.026735284287623,34.0,180.0,532.0,1142.0,2132.0,3529.0,5060.0,6506.0,7739.0,8654.0,10001,0.9928972928337324
-80397754#8,24605118#0,1.647589501417042,6.0,55.0,172.0,644.0,1217.0,1996.0,2781.0,3704.0,4285.0,4638.0,5109,0.20694069175079266
23158529#0,25340253#0,2.114619330200387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9584133972764247
172962794#2,158020256#5,1.447458371368563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.3478549911074329
-241765544#4,225402530#1,5.776860925922946,26.0,172.0,442.0,773.0,1284.0,2079.0,3295.0,4815.0,6309.0,7546.0,9415,0.35251320353018495
1017363471,706139037,1.1734400614165557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.28646186955310343
24701900#3,8169839,2.618019996218461,91.0,439.0,1210.0,2264.0,3588.0,4926.0,6263.0,7365.0,8229.0,8688.0,9172,0.41237298521486554
158020256#5,-25340239#1,0.5080655477241827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.11372291997140929
24975582#0,751866381#0,2.6172965581740635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8789275432823093
549206863#0,172496052#0,0.5184431012071414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.1201442250975735
44779234#2,-241765544#4,4.629484678216282,2.0,2.0,26.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41,0.29802955027720607
-305689934#1,27588412#0,12.974329064729472,1.0,13.0,122.0,427.0,962.0,1660.0,2548.0,3633.0,4840.0,6005.0,10001,0.9207117476609938
324493318#0,-389519619#1,3.5310622319137805,60.0,241.0,600.0,1204.0,2039.0,3180.0,4293.0,5375.0,6354.0,7147.0,9942,0.6055046417839783
888683700,706139037,2.444542368883824,3237.0,5123.0,6031.0,6505.0,6586.0,6591.0,6591.0,6591.0,6591.0,6591.0,6591,0.7682940298191833
27203168#3,-590598818#1,2.347821064488224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.3266884384157085
-288211979#3,25026462#2,3.395092222040553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.21817680281877652
8169839,46201350#0,3.574798554438092,53.0,196.0,472.0,963.0,1636.0,2292.0,2823.0,3359.0,3923.0,4377.0,7956,0.5241044490006167
24909060#4,-94342353#13,4.582923026254868,101.0,531.0,1190.0,2123.0,3422.0,4867.0,6056.0,7038.0,7781.0,8334.0,9567,0.7383053249376701
158020256#5,1017363471,1.8795785770603308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.5496824968487398
-94342353#13,-27202663#2,3.122859441887998,352.0,2789.0,4217.0,4651.0,4725.0,4731.0,4731.0,4731.0,4731.0,4731.0,4731,0.4539194827678157
