,origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
523,743621894,274957206-AddedOnRampEdge,0.9965131638005564,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,246809622#0,-93151609#2,3.386553463546981,9471,210.0,423.0,690.0,1238.0,1510.0,1424.0,1189.0,1120.0,763.0,459.0
525,-302251249#2,172431723,1.7656317681857776,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,1034296964#0,537191925#0,1.8640417052725529,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,120066566,370462000,1.2101870446601266,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,-156964938,95111039#0,2.6852512657182093,960,14.0,36.0,85.0,127.0,136.0,139.0,125.0,102.0,76.0,59.0
529,172431729,120191836,1.3584385114461082,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,4969364,35272282#0,16.61819561734278,10001,13.0,73.0,311.0,822.0,1582.0,1817.0,1692.0,1339.0,891.0,641.0
531,350878472,44128866,18.9418431188781,10001,1.0,7.0,241.0,1517.0,2980.0,2773.0,1617.0,605.0,208.0,50.0
532,14580806#0,35023180,7.595563942268483,9999,20.0,226.0,841.0,1204.0,1327.0,1214.0,1148.0,892.0,743.0,607.0
533,50306434#0,27418391#0,1.7070184684399203,2358,6.0,8.0,22.0,27.0,69.0,105.0,150.0,211.0,239.0,253.0
534,4969364,-33830647#1,30.05169321163472,10001,1.0,1.0,25.0,324.0,1091.0,1637.0,1828.0,1688.0,1294.0,917.0
535,44722581#1,161364982,11.34466686197983,10001,1.0,34.0,177.0,429.0,841.0,1203.0,1132.0,924.0,723.0,646.0
536,196204281,32064990,20.44579974889344,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,24552235,25941836#0,2.756572502828585,1857,2.0,3.0,7.0,20.0,65.0,101.0,220.0,245.0,301.0,274.0
538,-189145628#5,46613985,4.437073333322668,9385,498.0,515.0,329.0,434.0,426.0,306.0,259.0,328.0,449.0,446.0
539,639995660#0,394317170,19.761424356110727,10001,1.0,4.0,56.0,255.0,534.0,750.0,1070.0,1287.0,1396.0,1237.0
540,329347624,-45336762#2,0.9987906493636802,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,24959487#7,273801367,4.649222603585295,9561,903.0,1537.0,1130.0,815.0,869.0,903.0,998.0,884.0,708.0,404.0
542,4969364,-34761131#1,2.4354109245630085,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,201508721#3,-59310707,6.259036706212163,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,28403355#2,-201673025#1,24.15204687194744,10001,1.0,0.0,13.0,136.0,570.0,1182.0,1540.0,1583.0,1347.0,1077.0
545,1106797693#0,23679576#0,4.893573962262451,9802,17.0,132.0,361.0,563.0,945.0,1108.0,1219.0,1346.0,1172.0,1014.0
546,267237019,-371755835#4,8.970725673128428,9996,15.0,165.0,491.0,852.0,1131.0,1291.0,1366.0,1147.0,987.0,811.0
547,-248637522#5,-201672006#0,1.4992887594840154,558,1.0,5.0,5.0,14.0,22.0,14.0,31.0,26.0,36.0,69.0
548,154635176,95104320,1.2226045181433962,1098,17.0,39.0,30.0,50.0,70.0,58.0,34.0,21.0,26.0,52.0
549,166651369#0,-224110503,2.232198491616821,5058,38.0,126.0,242.0,258.0,426.0,472.0,522.0,487.0,397.0,424.0
550,19786592#0,48820365#0,1.7273703272442311,7531,69.0,270.0,537.0,903.0,1246.0,1241.0,995.0,743.0,510.0,337.0
551,900439225#2,26603867#1,1.7159472349390796,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,128382009,60003130,7.336858031467435,10001,1.0,6.0,40.0,140.0,396.0,816.0,1332.0,1726.0,1670.0,1349.0
553,52026998,41433107,2.79627911545973,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,-162797952#2,44130918,10.302319953386178,10001,14.0,150.0,567.0,986.0,1317.0,1483.0,1465.0,1228.0,997.0,680.0
555,-297192629#1,190028547,4.931017011872299,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,378950417,-224110503,1.789762155034936,80,10.0,10.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0
557,243051430#0,418136497,2.968442372652305,6982,200.0,1092.0,2313.0,1377.0,776.0,439.0,329.0,211.0,121.0,50.0
558,-606157575#2,32039826#0,1.6132607380005977,3521,48.0,51.0,211.0,398.0,558.0,526.0,456.0,250.0,201.0,118.0
559,1036789795,33806837#0,1.1168282537321774,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,267219951#0,350878471,12.033838196743757,8638,4.0,95.0,362.0,834.0,1089.0,1164.0,924.0,731.0,582.0,513.0
561,353012711#0,277608595,3.63989910436566,7238,58.0,738.0,1474.0,1369.0,1112.0,804.0,622.0,458.0,296.0,177.0
562,397978443#5,218121008#5,1.8725456706451464,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,591311355#0,-75538658#2,3.7862817883682256,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,268561248#0,28116598,1.9494132873422465,5169,27.0,81.0,553.0,840.0,968.0,747.0,591.0,547.0,336.0,197.0
565,370037154,931673333,18.917312391267696,10001,1.0,0.0,0.0,31.0,198.0,677.0,1341.0,1792.0,1807.0,1482.0
566,172431733,79270981#0,17.233265572670877,10001,1.0,3.0,26.0,133.0,297.0,515.0,755.0,864.0,1078.0,1028.0
567,-59310707,457204667,19.314178619649194,9990,379.0,558.0,684.0,565.0,444.0,475.0,637.0,807.0,916.0,1006.0
568,912309235,-172431730,0.7984097159814132,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,37455489#0,623182790#4,4.772115943185257,9495,755.0,2029.0,3041.0,1904.0,891.0,414.0,232.0,155.0,53.0,19.0
570,135046797#0,276504198,1.687354473559326,8760,25.0,182.0,262.0,470.0,640.0,585.0,657.0,551.0,693.0,713.0
571,264517777#0,-722584443,17.037736764790417,10001,1.0,12.0,169.0,756.0,1528.0,1967.0,1850.0,1360.0,911.0,568.0
572,53843594,623182790#2,9.27880775580185,7561,368.0,1169.0,1178.0,1293.0,935.0,913.0,884.0,499.0,218.0,83.0
573,252117618#0,23219961#2,6.949197507489688,10001,1.0,26.0,187.0,626.0,1067.0,1324.0,1431.0,1503.0,1213.0,983.0
574,-953042437#1,-53420585#3,14.1608470449619,10001,1.0,17.0,105.0,333.0,843.0,1470.0,1743.0,1582.0,1327.0,909.0
575,52026998,439079660,2.9264653057387573,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,-302251249#2,172431730,1.6900849387260266,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,400161706,-116490719#2,1.4749909108517418,277,10.0,12.0,17.0,27.0,13.0,23.0,23.0,29.0,20.0,18.0
