,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
749,147468729,25334554,1.7146921663343482,1.0,4.0,2.0,4.0,1.0,0.0,1.0,1.0,4.0,6.0,424
750,29189453,25164934#2,2.188487810484609,6.0,8.0,70.0,119.0,123.0,295.0,458.0,372.0,305.0,367.0,3248
751,29189452#1,425366256,4.875478990083113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
752,-28838375,402366668#0,1.495688374750451,3.0,10.0,19.0,32.0,57.0,69.0,92.0,101.0,107.0,141.0,1117
753,25340719#0,42650929#5,6.941244329980016,51.0,482.0,1535.0,2797.0,3144.0,2677.0,1939.0,1142.0,625.0,302.0,14995
754,43852179#0,25342653#0,1.2205101005054853,6.0,5.0,10.0,8.0,17.0,12.0,9.0,6.0,2.0,1.0,76
755,-168436709,27021018#0,2.915298068622278,39.0,43.0,50.0,62.0,47.0,45.0,50.0,166.0,316.0,411.0,1717
756,348439788#0,26682296,4.297424093338081,24.0,24.0,92.0,284.0,246.0,511.0,630.0,1035.0,836.0,1069.0,6719
757,27366824#0,-42246096,4.576606506944317,214.0,564.0,2193.0,2323.0,2259.0,1465.0,810.0,325.0,116.0,38.0,10317
758,26682439,159918196#3,5.193943492074452,545.0,1755.0,2505.0,2917.0,2517.0,1630.0,1044.0,734.0,486.0,280.0,14703
759,-172638589#2,25342653#0,5.458359764624087,120.0,341.0,676.0,921.0,1154.0,1264.0,1231.0,1221.0,1087.0,1046.0,14363
760,26809871#1,-1059795764,1.2433397362733094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
761,348439788#0,26682296,4.297424093338081,24.0,24.0,94.0,257.0,249.0,521.0,600.0,1024.0,815.0,1098.0,6697
762,224109243#1,557808148,10.686148483093358,3.0,75.0,288.0,681.0,1269.0,1631.0,1733.0,1533.0,1342.0,1071.0,15001
763,622670749#13,-29072306#1,10.623811119283417,2.0,101.0,685.0,1531.0,1766.0,1611.0,1382.0,1374.0,1252.0,1042.0,15001
764,-288786859,-980535626#1,1.6005989625413348,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
765,29189452#0-AddedOffRampEdge,-352150488#7,1.7841189920384108,6.0,0.0,24.0,45.0,35.0,53.0,92.0,115.0,119.0,109.0,1508
766,-25314635#2,27123048#0,4.099371841128191,107.0,283.0,518.0,1313.0,1421.0,1654.0,1385.0,1214.0,995.0,915.0,11837
767,25316177#0,578839257,1.4386823520350929,2.0,3.0,10.0,15.0,12.0,22.0,17.0,23.0,20.0,15.0,170
768,29072305,-465272566#1,1.823903470146796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
769,44779234#5,224928159,1.8856145455906896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
770,-299064896#1,-964072140#2,2.109085148464625,116.0,332.0,427.0,526.0,586.0,644.0,490.0,360.0,261.0,195.0,4156
771,-204521194#2,172421027#0,2.891357389932125,0.0,10.0,122.0,249.0,682.0,1040.0,836.0,569.0,193.0,47.0,3760
772,29189452#0-AddedOffRampEdge,29072306#0,4.355700250925277,517.0,2179.0,2564.0,2148.0,1331.0,630.0,183.0,32.0,2.0,0.0,9586
773,-264908265,-24809647#2,4.721451901478679,903.0,2450.0,1528.0,2076.0,1753.0,1262.0,743.0,500.0,357.0,293.0,12492
774,-24854660#0,24880769,1.5475085909836117,32.0,64.0,0.0,0.0,27.0,126.0,200.0,74.0,4.0,0.0,527
775,651146381#1,-28169407#2,1.944510414412097,68.0,181.0,305.0,395.0,345.0,393.0,291.0,252.0,243.0,241.0,3966
776,25316177#0,-42246096,3.854631219220912,145.0,366.0,1883.0,1870.0,1891.0,1086.0,692.0,288.0,138.0,51.0,8424
777,443244481#3,27623929#2,10.701781751568053,12.0,69.0,437.0,986.0,1463.0,1788.0,1938.0,1913.0,1774.0,1486.0,15001
778,25316993#0,-606133713#0,11.119084696839924,3.0,55.0,308.0,755.0,1236.0,1819.0,2036.0,2204.0,1988.0,1584.0,15001
779,26682439,843932181#0,8.77340317757658,182.0,1523.0,3331.0,3423.0,2435.0,1548.0,1087.0,708.0,388.0,215.0,15001
780,30453877,23005145-AddedOnRampEdge,3.3957579148919046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
781,205385764#0,-28836435#0,1.4319819311398767,3.0,8.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,24
782,542317100#0,-168436709,9.755137533011409,9.0,149.0,690.0,1661.0,2390.0,2478.0,2383.0,2039.0,1334.0,843.0,15001
783,24606208#3,-168436709,3.941026106209686,290.0,1820.0,3732.0,3064.0,2203.0,1558.0,1055.0,645.0,358.0,151.0,14953
784,28235864,28905432#0,3.945885735759923,377.0,1320.0,1912.0,2024.0,1653.0,1467.0,973.0,626.0,350.0,167.0,11021
